,loss,accuracy,val_loss,val_accuracy
0,0.9486785051615342,0.42391303181648254,0.6471761931543765,0.5454545617103577
1,0.6186043694615364,0.70652174949646,0.49942705164784973,0.7727272510528564
2,0.44884982575540955,0.8586956262588501,0.44358502522758814,0.7727272510528564
3,0.3741367454438106,0.8695651888847351,0.40510006313738617,0.8181818127632141
4,0.30830191375444765,0.9347826242446899,0.35498054649518884,0.8636363744735718
5,0.27578412530862767,0.9130434989929199,0.33742640912532806,0.8636363744735718
6,0.23541570126848377,0.9239130616188049,0.3083338905935702,0.8636363744735718
7,0.2346608894775905,0.9347826242446899,0.27998258497404016,0.8636363744735718
8,0.2033667753086142,0.945652186870575,0.2768354934194814,0.8636363744735718
9,0.1876911939445721,0.9347826242446899,0.2498031864347665,0.8636363744735718
10,0.22135686392531448,0.9239130616188049,0.25271635891302774,0.8636363744735718
11,0.1513877607193654,0.967391312122345,0.2609585928528205,0.9090909361839294
12,0.11868370981866737,0.97826087474823,0.21703451143010802,0.9090909361839294
13,0.1309537734335248,0.945652186870575,0.1975345370238242,0.9090909361839294
14,0.17660126141677407,0.9347826242446899,0.19557232782244682,0.8636363744735718
15,0.1087658794991591,0.97826087474823,0.19154495065626892,0.8636363744735718
16,0.10534271136756339,0.945652186870575,0.1838220760388219,0.9090909361839294
17,0.1458913396952836,0.945652186870575,0.17440920396019582,0.9090909361839294
18,0.07244924103598231,0.97826087474823,0.23195391573497784,0.9090909361839294
19,0.07434641875126703,0.97826087474823,0.17684777113406555,0.8636363744735718
20,0.09703330362326992,0.967391312122345,0.1835117058261581,0.8636363744735718
21,0.07998420590529745,0.989130437374115,0.1658097247633597,0.9090909361839294
22,0.06917836355885652,0.97826087474823,0.16566996786581434,0.8636363744735718
23,0.06212239503783285,0.97826087474823,0.15041421531983043,0.9090909361839294
24,0.06095909070901816,0.97826087474823,0.15520450841311528,0.9090909361839294
25,0.05473364896518077,0.989130437374115,0.1752207915744056,0.9090909361839294
26,0.0661566652175363,0.989130437374115,0.15720872714629638,0.9090909361839294
27,0.10233974447581441,0.97826087474823,0.1602937395117529,0.9090909361839294
28,0.09143242067606795,0.95652174949646,0.14894237450283507,0.9090909361839294
29,0.04662996164773611,1.0,0.18612906705264165,0.9090909361839294
30,0.1390346965446319,0.9347826242446899,0.1442162264543383,0.9090909361839294
